mysql> select * from t_grade;
+----+-------+--------+---------+
| id | grade | course | student |
+----+-------+--------+---------+
|  1 |    60 |      1 |       1 |
|  2 |    45 |      1 |       2 |
|  3 |    80 |      1 |       3 |
|  4 |    76 |      1 |       4 |
|  5 |    90 |      1 |       5 |
|  6 |    88 |      1 |       6 |
|  7 |    67 |      1 |       7 |
|  8 |    78 |      1 |       8 |
|  9 |    95 |      1 |       9 |
| 10 |    65 |      2 |       4 |
| 11 |    50 |      2 |       5 |
| 12 |    85 |      2 |       6 |
| 13 |    81 |      2 |       7 |
| 14 |    95 |      2 |       8 |
| 15 |    83 |      2 |       9 |
| 16 |    72 |      2 |      10 |
| 17 |    83 |      2 |      11 |
| 18 |    98 |      2 |      12 |
| 19 |    75 |      3 |       6 |
| 20 |    60 |      3 |       7 |
| 21 |    94 |      3 |       8 |
| 22 |    91 |      3 |       9 |
| 23 |    85 |      3 |      10 |
| 24 |    73 |      3 |      11 |
| 25 |    82 |      3 |      12 |
| 26 |    63 |      3 |      13 |
| 27 |    68 |      3 |      14 |
+----+-------+--------+---------+
